idcliente;cliente;produto;fornecedor;idfornecedor;dtstatusvenda;statusitem;idvendedor;idproduto;pesounitario;qtdnofator;estoque_anterior;pesototal;idcliente;cidade;uf;qtdvendido;vlrunitario;vlrtotal
3516;LOJA MERCONPLAS LTDA;SANITA (AVULSA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-21;LANCADO;3;7896744811353;0.0000;2.0000;202.0000;0.00000000;3516;ARAPIRACA;AL;2.00000000;5.2300000000000000;10.460000
3516;LOJA MERCONPLAS LTDA;SANITA (REDONDA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-20;LANCADO;3;7896744811407;0.0000;1.0000;351.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;10.5600000000000000;10.560000
3516;LOJA MERCONPLAS LTDA;SANITA (AVULSA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-19;LANCADO;3;7896744811353;0.0000;1.0000;203.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;5.2300000000000000;5.230000
3516;LOJA MERCONPLAS LTDA;SANITA (QUADRANGULAR) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-19;LANCADO;3;7896744811308;0.0000;3.0000;23.0000;0.00000000;3516;ARAPIRACA;AL;3.00000000;12.1600000000000000;36.480000
3516;LOJA MERCONPLAS LTDA;SANITA (REDONDA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-19;LANCADO;3;7896744811407;0.0000;4.0000;355.0000;0.00000000;3516;ARAPIRACA;AL;4.00000000;10.5600000000000000;42.240000
3516;LOJA MERCONPLAS LTDA;ESCOVA C/SUPORTE - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-19;LANCADO;3;7896744810400;0.0000;3.0000;41.0000;0.00000000;3516;ARAPIRACA;AL;3.00000000;6.2100000000000000;18.630000
3516;LOJA MERCONPLAS LTDA;SANITA (QUADRANGULAR) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-18;LANCADO;3;7896744811308;0.0000;1.0000;24.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;12.1600000000000000;12.160000
3516;LOJA MERCONPLAS LTDA;SANITA (REDONDA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-18;LANCADO;3;7896744811407;0.0000;6.0000;361.0000;0.00000000;3516;ARAPIRACA;AL;6.00000000;10.5600000000000000;63.360000
3516;LOJA MERCONPLAS LTDA;SANITA (QUADRANGULAR) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-16;LANCADO;3;7896744811308;0.0000;1.0000;25.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;12.1600000000000000;12.160000
3516;LOJA MERCONPLAS LTDA;SANITA (AVULSA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-16;LANCADO;3;7896744811353;0.0000;1.0000;204.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;5.2300000000000000;5.230000
3516;LOJA MERCONPLAS LTDA;SANITA (QUADRANGULAR) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-14;LANCADO;3;7896744811308;0.0000;1.0000;26.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;12.1600000000000000;12.160000
3516;LOJA MERCONPLAS LTDA;ESCOVA C/SUPORTE - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-14;LANCADO;3;7896744810400;0.0000;1.0000;42.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;6.2100000000000000;6.210000
3516;LOJA MERCONPLAS LTDA;SANITA (QUADRANGULAR) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-13;LANCADO;3;7896744811308;0.0000;1.0000;27.0000;0.00000000;3516;ARAPIRACA;AL;1.00000000;12.1600000000000000;12.160000
3516;LOJA MERCONPLAS LTDA;SANITA (AVULSA) - MONTE LIBANO;MONTE LIBANO IND. E COM. DE BRINQUEDOS LTDA;60;2016-05-13;LANCADO;3;7896744811353;0.0000;8.0000;212.0000;0.00000000;3516;ARAPIRACA;AL;8.00000000;5.2300000000000000;41.840000
